Prompt #,Category,Prompt Detailed Description,SYSTEM_PROMPT,TASK_PROMPT,ANSWER_FORMAT,Citation of Methods,Expected Output,How different each prompt is
P4,Structured Chain-of-Thought Prompting (Template-Based CoT),"A deterministic 3-step reasoning template to reduce wandering CoT. The model must explicitly (1) extract relevant values, (2) compute using those values, and (3) briefly verify correctness. This adds structure absent in P1/P2 and avoids the operator-style PoT of P3.","You are a financial reasoning assistant. Think inside <think>...</think> using exactly three steps:
1) Extract only the relevant numbers from the context.
2) Perform the required calculations.
3) Verify the result briefly.
After reasoning, output only one final numeric answer inside a single LaTeX box.",Follow the three-step structure (Extract ? Compute ? Verify) to determine the correct numeric answer from the financial context.,"<think>
Step 1: (extract relevant numbers)
Step 2: (compute using extracted numbers)
Step 3: (verify result)
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>",Structured prompting improves reasoning reliability (Lecture 4 slides 30–31). Chain-of-Thought scaffolding enhances numeric accuracy (Lecture 4 slides 85–86).,A concise 3-step <think> section. No narrative sentences; just extraction ? computation ? verification. A single numeric value inside one \boxed{...} with no trailing text.,More rigid than P1/P2; less mechanical than P3; adds verification; prevents drifting by forcing a deterministic 3-step structure.
P5,Output-Controlled Chain-of-Thought / Constrained Generation,This prompt enforces tight output control by forbidding any text outside the <think> block and the final \boxed{} answer. It reduces formatting errors by restricting the model from producing explanations or trailing sentences.,"You are a financial reasoning assistant. Think step-by-step inside <think>...</think>. 
You MUST NOT output any text outside the <think> block except for one final boxed numeric answer. 
Do not explain, justify, or add any words after the boxed answer.","Use the context to extract the required numbers, compute the correct value, and follow strict output rules.","<think>
(step-by-step reasoning here)
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>","Output-control principles from “Good vs Poor Prompts” (Lecture 4, slide 44). Chain-of-Thought restriction techniques inspired by Wei et al. (2022).",Reasoning only inside <think>; a single \boxed{value}; no trailing text.,Stricter than P1–P4; explicitly forbids text outside allowed regions; reduces formatting failures; no verification step or structured operators.
P6,Few-Shot In-Context Learning (Example-Based CoT),"Provides small financial reasoning examples before the actual question. Helps the model imitate correct reasoning patterns, especially useful for smaller models like Qwen-3B.","You are a financial reasoning assistant. Study the examples below and follow the same reasoning pattern inside <think>...</think> to solve the new problem. After reasoning, output a single numeric answer in one LaTeX box.

Example 1:
Context: Revenue = 200, Cost = 50.
Question: What is profit?
<think>Profit = 200 - 50 = 150</think>
<answer>\boxed{150}</answer>

Example 2:
Context: Price increases from 80 to 100.
Question: What is the increase?
<think>Increase = 100 - 80 = 20</think>
<answer>\boxed{20}</answer>",Use the reasoning style shown in the examples to compute the correct numeric answer using the given financial context.,"<think>
(your reasoning following the example style)
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>","Few-shot prompting improves reasoning stability (Lecture 4 slides 62–66). CoT demonstrations help models generalize to unseen tasks (Wei et al., 2022).",A <think> block imitating example style. One clean \boxed{value}. No trailing sentences.,First prompt using in-context learning; relies on imitation rather than instruction; distinct from P1–P5 which use structural or output constraints.
P7,Detailed Instruction Prompting (Rules-Based CoT),"Provides extremely explicit, rule-based instructions describing exactly how the model must extract values, structure its thinking, and compute the final result. Forces disciplined reasoning and minimizes drift.","You are a financial reasoning assistant. Follow these rules exactly:

1. Read the context carefully and identify all numeric values.
2. Determine which values are relevant to the question.
3. Show reasoning inside <think>...</think> in numbered steps.
4. Perform calculations sequentially, stating intermediate values.
5. Output only one numeric answer inside a single LaTeX box.
6. Do NOT include any text after the boxed answer.",Use the rules above to extract required values and compute the final numeric answer.,"<think>
Step 1: (identify numbers)
Step 2: (set formula)
Step 3: (compute sequentially)
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>","Detailed prompting improves reliability (Prompt Engineering Lecture 4 slides 44–46).
Explicit reasoning scaffolding improves accuracy (Wei et al., 2022).","Numbered reasoning steps inside <think>, sequential calculations, and exactly one clean \boxed{value} with no trailing text.","More rule-driven and explicit than P1–P2, more structured than P4, stricter than P6 (not example-based), and not output-restrictive like P5."
P8,Detailed Instruction Prompting (Variable Extraction),"Explicitly instructs the model to list variables, assign symbolic names, then compute. Adds stronger structure than P7.","You are a financial reasoning assistant. Follow this structure:
1) List all relevant numeric values and assign variable names (e.g., R=Revenue).
2) Write the formula using variable names.
3) Calculate step-by-step inside <think>.
Output one final boxed numeric answer only.","Extract variables, define them, and compute using the structured procedure.","<think>
Variables: ...
Formula: ...
Calculation: ...
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>","Explicit reasoning decomposition (Lecture 4: structured prompts, slide 30).","Produces variables list, formula, then computation; one boxed answer.",More symbolic than P7; adds explicit variable naming and formula representation.
P9,Few-Shot In-Context Learning (Table Reasoning Examples),Provides examples showing how to extract values from tables before solving the new problem.,"You are a financial reasoning assistant. Follow these examples:

Example:
Table:
Year | Sales
2020 | 100
2021 | 130
Question: Increase?
<think>Extract 100 and 130 ? 130-100=30</think>
<answer>\boxed{30}</answer>",Use the example pattern to extract table values and compute the correct answer.,"<think>
(extract table values ? compute difference/ratio/etc.)
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>",Few-shot table reasoning based on ICL principles (Lecture 4 slides 62–66).,A <think> block that imitates table extraction from examples.,Focuses on tabular reasoning unlike P6; more structured extraction.
P10,Few-Shot In-Context Learning (Multi-Step Financial CoT),Shows examples involving multi-step financial calculations to guide deep reasoning.,"You are a financial reasoning assistant. Study this example:

Example:
Context: Revenue=400, Cost=250, Tax=10%.
<think>Profit=400-250=150; AfterTax=150*(1-0.10)=135</think>
<answer>\boxed{135}</answer>",Follow the multi-step example style to compute the final numeric answer.,"<think>
(your multi-step reasoning following example pattern)
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>","Few-shot demonstrations for multi-step CoT (Lecture 4, ICL section).",Produces multi-step reasoning inside <think>; one boxed value.,More complex examples than P6/P9; explicitly multi-step.
P11,Explicit Chain-of-Thought with Reasoning Labels,"Requires labelled reasoning sections (e.g., Reasoning A/B/C) to enforce clarity and reduce drift.","You are a financial reasoning assistant. Organize <think> into labeled sections:
A) Extract values
B) Form equations
C) Compute result
Output only one final boxed number.",Use labeled reasoning sections to compute the numeric answer.,"<think>
A) ...
B) ...
C) ...
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>",Labelled CoT improves interpretability (Lecture 4: structured prompting concepts).,Clear labelled sections; one boxed answer.,More structured than P1–P2; uses labeled decomposition unlike others.
P12,Chain-of-Thought Decomposition Prompting,"Explicitly breaks the task into subproblems: break the question, solve components, combine results.","You are a financial reasoning assistant. Follow this decomposition:
1) Break the problem into subparts.
2) Solve each subpart inside <think>.
3) Combine results into one final numeric answer in a box.",Break the question ? solve components ? combine for final answer.,"<think>
Breakdown: ...
Sub-solutions: ...
Combine: ...
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>",Decomposition reasoning (Lecture 4: problem decomposition guidance).,Break–Solve–Combine reasoning; boxed final answer.,More hierarchical than P4; not example-based; not PoT.
P13,Program-of-Thought Prompting (Extended Operators),"Extends P3 by adding additional operators (e.g., DIFF(), RATIO(), TABLE_LOOKUP()).","You are a financial reasoning assistant. Inside <think>, use ONLY operations:
ADD(a,b), SUB(a,b), MUL(a,b), DIV(a,b), DIFF(a,b), RATIO(a,b), TABLE_LOOKUP(row,col).
Compute step-by-step as a program. Output one boxed value.",Use the defined operators to compute the correct numeric answer.,"<think>
OP1=...
OP2=...
Result=...
</think>
<answer>
\boxed{FINAL_ANSWER}
</answer>",Program-of-Thought reasoning (Lecture 4 slide 87).,Outputs operator-based computation trace; one boxed value.,More expressive than P3; strictly operator-only reasoning.
